time, p0, p1, p2, p3
903787420, [354. 217.], [354. 180.], [376. 180.], [376. 217.]
986772166, [365.4017  180.41805], [386.59024 178.4918 ], [389.8771  214.64754], [368.68857 216.57378]
1065761759, [383.23077 178.15384], [392.46155 176.30768], [399.8462  213.23077], [390.61542 215.07693]
1160969222, [375.52 177.64], [398.75998 174.31999], [404.37997 213.65999], [381.13998 216.98   ]
1260354240, [383.2308  178.15384], [397.6539  175.26923], [405.26926 213.34616], [390.84616 216.23077]
1360198637, [386.27997 175.96   ], [398.74    174.18001], [404.41998 213.94002], [391.95996 215.72002]
1460951499, [379.76556 177.18625], [400.78625 175.43451], [403.98627 213.8345 ], [382.96558 215.58624]
1561038689, [387.16928 178.35388], [396.27695 177.21542], [400.83078 213.64618], [391.7231  214.78464]
1662184723, [377.81082 178.86487], [386.40543 177.43243], [392.59464 214.56757], [384.00003 216.     ]
1760145782, [365.46155 181.30771], [373.9231  179.61539], [381.03845 215.19229], [372.5769  216.88461]
1860301680, [353.96222 181.64691], [362.75415 180.70493], [366.60156 216.61414], [357.80963 217.55612]
1960881734, [315. 181.], [323. 181.], [323. 217.], [315. 217.]
2061181291, [305. 216.], [305. 179.], [313. 179.], [313. 216.]
2161835870, [299. 178.], [307. 178.], [307. 217.], [299. 217.]
2259703555, [297. 178.], [313. 178.], [313. 216.], [297. 216.]
2459937165, [297. 177.], [315. 177.], [315. 217.], [297. 217.]
2560700825, [299. 179.], [308. 179.], [308. 217.], [299. 217.]
2661341422, [307. 180.], [315. 180.], [315. 217.], [307. 217.]
2759482883, [317. 182.], [325. 182.], [325. 217.], [317. 217.]
2859899040, [356.12 182.84], [364.8 181.6], [369.77997 216.45999], [361.09998 217.69998]
2960349680, [369.69235 180.53848], [378.3077  179.46155], [382.8154  215.52307], [374.20004 216.6    ]
3060486432, [380.30774 179.46152], [389.29236 178.33844], [393.8308  214.64615], [384.8462  215.76923]
3162230062, [385.76923 177.84616], [394.61536 176.07693], [402.0769  213.38461], [393.23077 215.15384]
3259688575, [379.55994 176.92   ], [399.01996 174.14   ], [404.63995 213.48   ], [385.17993 216.26   ]
3359803586, [386.62167 175.72974], [397.00003 174.     ], [401.43246 200.5946 ], [391.0541  202.32434]
3460842024, [381.69232 177.46153], [397.46155 174.3077 ], [405.23077 213.15385], [389.46155 216.3077 ]
3560959682, [373.66    178.62001], [398.02 175.14], [403.49997 213.49998], [379.13998 216.98   ]
3661555889, [382.      179.00002], [390.65387 177.26924], [397.88464 213.42308], [389.23077 215.15385]
3760116600, [374.6097  179.48781], [383.49997 178.50002], [387.51218 214.60979], [378.62192 215.59758]
3859987559, [365. 216.], [365. 180.], [374. 180.], [374. 216.]
3960391939, [351. 181.], [360. 181.], [360. 217.], [351. 217.]
4060900771, [311. 217.], [311. 180.], [319. 180.], [319. 217.]
4162191856, [300.69232 216.46153], [305.4308  178.55385], [313.67694 179.58461], [308.93848 217.4923 ]
4259821233, [298. 178.], [319. 178.], [319. 217.], [298. 217.]
4360046271, [296.55386 215.56924], [301.16922 178.64618], [313.6     180.20001], [308.98465 217.12308]
4460818546, [296.4878  215.60977], [300.59753 178.62195], [313.43903 180.04877], [309.32928 217.03659]
4560652448, [296.70734 215.63416], [300.93903 177.5488 ], [322.45123 179.93906], [318.21954 218.02441]
4661960293, [302. 179.], [311. 179.], [311. 217.], [302. 217.]
4759970324, [309.939  216.5488], [314.03653 179.67075], [322.37802 180.59756], [318.2805  217.47562]
4859977552, [351. 181.], [360. 181.], [360. 217.], [351. 217.]
4960745586, [361.4     181.79999], [369.93997 180.57999], [374.93997 215.57999], [366.4     216.79999]
5060758500, [373.82    179.73999], [382.64    178.47998], [387.78003 214.45999], [378.96002 215.72   ]
5162376904, [383.55396 178.43076], [392.1693  177.35382], [396.70776 213.66153], [388.0924  214.73846]
